Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,English,Spanish,French
2871,118,gurren,gurre,,gurrst,,gurrt,gurrte,,gegurrt,,gurrte,,gurre,,,gurrt,,haben,,coo,arrullo,roucouler
2872,118,aufsagen,sage auf,,sagst auf,,sagt auf,sagte auf,,aufgesagt,,sagte auf,,sag auf,,,sagt auf,,haben,,recite,recitar,réciter
2873,118,bekanntgeben,gebe bekannt,,gibst bekannt,,gibt bekannt,gab bekannt,,bekanntgegeben,,gäbe bekannt,,gib bekannt,,,gebt bekannt,,haben,,announce,anunciar,annoncer
2874,118,abenteuern,abenteuere,abenteure,abenteuerst,,abenteuert,abenteuerte,,geabenteuert,,abenteuerte,,abenteuere,abenteure,,abenteuert,,sein,,adventure,aventura,aventure
2865,119,trachten,trachte,,trachtest,,trachtet,trachtete,,getrachtet,,trachtete,,tracht,trachte,,trachtet,,haben,,strive,esforzarse,aspirer
2866,119,fliesen,fliese,,fliest,,fliest,flieste,,gefliest,,flieste,,flies,fliese,,fliest,,haben,,tiles,azulejos,carrelage
2867,119,gutheißen,heiße gut,,heißt gut,,heißt gut,hieß gut,,gutgeheißen,,hieße gut,,heiß gut,heiße gut,,heißt gut,,haben,,approve,aprobar,approuver
2868,119,vermiesen,vermiese,,vermiest,,vermiest,vermieste,,vermiest,,vermieste,,vermies,vermiese,,vermiest,,haben,,spoil,arruinar,gâcher
2858,120,schüren,schüre,,schürst,,schürt,schürte,,geschürt,,schürte,,schüre,schür,,schürt,,haben,,stir up,remover,susciter
2859,120,knattern,knattere,,knatterst,,knattert,knatterte,,geknattert,,knatterte,,knattere,knatter,,knattert,,haben,,rattle,traqueteo,hochet
2860,120,feilen,feile,,feilst,,feilt,feilte,,gefeilt,,feilte,,feile,feil,,feilt,,haben,,file,archivo,déposer
2861,120,patrouillieren,patrouilliere,,patrouillierst,,patrouilliert,patrouillierte,,patrouilliert,,patrouillierte,,patrouilliere,patrouillier,,patrouilliert,,haben,sein,patrol,patrulla,patrouille
2862,120,pauken,pauke,,paukst,,paukt,paukte,,gepaukt,,paukte,,pauk,pauke,,paukt,,haben,,cramming,abarrotando,bourrage
2863,120,benebeln,benebel,,benebelst,,benebelt,benebelte,,benebelt,,benebelte,,benebel,beneble,,benebelt,,haben,,fog,niebla,brouillard
2864,120,ausweiten,weite aus,,weitest aus,,weitet aus,weitete aus,,ausgeweitet,,weitete aus,,weit aus,weite aus,,weitet aus,,haben,,expand,expandir,développer
2855,121,verfassen,verfasse,,verfasst,,verfasst,verfasste,,verfasst,,verfasste,,verfass,verfasse,,verfasst,,haben,,write,escribir,écrire
2856,121,durcharbeiten,arbeite durch,,arbeitest durch,,arbeitet durch,arbeitete durch,,durchgearbeitet,,arbeitete durch,,arbeite durch,arbeit durch,,arbeitet durch,,haben,,work through,trabajar a través de,travailler à travers
2857,121,weiterkämpfen,kämpfe weiter,,kämpfst weiter,,kämpft weiter,kämpfte weiter,,weitergekämpft,,kämpfte weiter,,kämpf weiter,kämpfe weiter,,kämpft weiter,,haben,,keep fighting,sigue luchando,continuez à vous battre
2846,122,fortpflanzen,pflanze fort,,pflanzt fort,,pflanzt fort,pflanzte fort,,fortgepflanzt,,pflanzte fort,,pflanz fort,pflanze fort,,pflanzt fort,,haben,,reproduce,reproducir,reproduire
2847,122,stornieren,storniere,,stornierst,,storniert,stornierte,,storniert,,stornierte,,storniere,stornier,,storniert,,haben,,cancel,Cancelar,Annuler
2848,122,flechten,flechte,,flichtst,,flicht,flocht,,geflochten,,flöchte,,flicht,,,flechtet,,haben,,ERROR,trenza,tresser
2849,122,hecheln,hechle,,hechelst,,hechelt,hechelte,,gehechelt,,hechelte,,hechele,hechle,,hechelt,,haben,,pant,jadear,haleter
2850,122,übertrumpfen,übertrumpfe,,übertrumpfst,,übertrumpft,übertrumpfte,,übertrumpft,,übertrumpfte,,übertrumpfe,,,übertrumpft,,haben,,trump,triunfo,atout
2851,122,tunneln,tunnele,,tunnelst,,tunnelt,tunnelte,,getunnelt,,tunnelte,,tunnele,,,tunnelt,,haben,,tunnel,túnel,tunnel
2852,122,abrasieren,rasiere ab,,rasierst ab,,rasiert ab,rasierte ab,,abrasiert,,rasierte ab,,rasier ab,rasiere ab,,rasiert ab,,haben,,shave off,afeitarse,se raser
2853,122,abmelden,melde ab,,meldest ab,,meldet ab,meldete ab,,abgemeldet,,meldete ab,,meld ab,melde ab,,meldet ab,,haben,,log out,finalizar la sesión,se déconnecter
2854,122,krausen,krause,,kraust,,kraust,krauste,,gekraust,,krauste,,kraus,krause,,kraust,,haben,,curl,rizo,boucle
2836,123,schälen,schäle,,schälst,,schält,schälte,,geschält,,schälte,,schäl,,,schält,,haben,,peel,cáscara,peler
2837,123,auseinandersetzen,setze auseinander,,setzt auseinander,,setzt auseinander,setzte auseinander,,auseinandergesetzt,,setzte auseinander,,setz auseinander,,,setzt auseinander,,haben,,deal with,tratar con,traiter avec
2838,123,filzen,filze,,filzt,,filzt,filzte,,gefilzt,,filzte,,filze,filz,,filzt,,haben,,felt,sintió,feutre
2839,123,benützen,benütze,,benützt,,benützt,benützte,,benützt,,benützte,,benütze,,,benützt,,haben,,use,usar,utiliser
2840,123,entflammen,entflamme,,entflammst,,entflammt,entflammte,,entflammt,,entflammte,,entflamm,entflamme,,entflammt,,haben,sein,ignite,encender,enflammer
2841,123,anwidern,widere an,wider an,widerst an,,widert an,widerte an,,angewidert,,widerte an,,widere an,wider an,,widert an,,haben,,disgust,asco,dégoût
2842,123,ausschütten,schütte aus,,schüttest aus,,schüttet aus,schüttete aus,,ausgeschüttet,,schüttete aus,,schütt aus,schütte aus,,schüttet aus,,haben,,pour out,derramar,déverser
2843,123,befummeln,befummele,,befummelst,,befummelt,befummelte,,befummelt,,befummelte,,befummel,befummle,,befummelt,,haben,,grope,ir a tientas,tâtonner
2844,123,entsinnen,entsinne,,entsinnst,,entsinnt,entsann,,entsonnen,,entsänne,entsönne,entsinn,entsinne,,entsinnt,,haben,,remember,recordar,souviens-toi
2845,123,kurzschließen,schließe kurz,,schließt kurz,,schließt kurz,schloss kurz,,kurzgeschlossen,,schlösse kurz,,schließ kurz,schließe kurz,,schließt kurz,,haben,,short circuit,cortocircuito,court-circuit
2830,124,auswerten,werte aus,,wertest aus,,wertet aus,wertete aus,,ausgewertet,,wertete aus,,werte aus,,,wertet aus,,haben,,evaluate,evaluar,évaluer
2831,124,rosten,roste,,rostest,,rostet,rostete,,gerostet,,rostete,,rost,roste,,rostet,,haben,sein,roast,asar,rôti
2832,124,entfallen,entfalle,,entfällst,,entfällt,entfiel,,entfallen,,entfiele,,entfalle,,,entfallt,,sein,,omitted,omitido,omis
2833,124,tratschen,tratsche,,tratschst,tratscht,tratscht,tratschte,,getratscht,,tratschte,,tratsche,,,tratscht,,haben,,gossip,chisme,potins
2834,124,erdulden,erdulde,,erduldest,,erduldet,erduldete,,erduldet,,erduldete,,erduld,erdulde,,erduldet,,haben,,endure,perdurar,endurer
2835,124,drosseln,drossle,drossele,drosselst,,drosselt,drosselte,,gedrosselt,,drosselte,,drossle,drossele,,drosselt,,haben,,throttle,acelerador,étrangler
2824,125,gaumen,gaume,,gaumst,,gaumt,gaumte,,gegaumt,,gaumte,,gaume,,,gaumt,,haben,,palate,paladar,palais
2825,125,erklimmen,erklimme,,erklimmst,,erklimmt,erklomm,,erklommen,,erklömme,,erklimme,,,erklimmt,,haben,,climb,trepar,grimper
2826,125,ausstopfen,stopfe aus,,stopfst aus,,stopft aus,stopfte aus,,ausgestopft,,stopfte aus,,stopf aus,stopfe aus,,stopft aus,,haben,,stuff,cosa,truc
2827,125,strippen,strippe,,strippst,,strippt,strippte,,gestrippt,,strippte,,strippe,,,strippt,,haben,,strip,banda,bande
2828,125,verdampfen,verdampfe,,verdampfst,,verdampft,verdampfte,,verdampft,,verdampfte,,verdampf,,,verdampft,,sein,haben,evaporate,evaporar,évaporer
2829,125,werken,werke,,werkst,,werkt,werkte,,gewerkt,,werkte,,werk,werke,,werkt,,haben,,work,trabajar,travail
2820,126,entleeren,entleere,,entleerst,,entleert,entleerte,,entleert,,entleerte,,entleere,,,entleert,,haben,,empty,vacío,vide
2821,126,prophezeien,prophezeie,,prophezeist,,prophezeit,prophezeite,,prophezeit,,prophezeite,,prophezeie,prophezei,,prophezeit,,haben,,prophesy,profetizar,prophétiser
2822,126,vorbeugen,beuge vor,,beugst vor,,beugt vor,beugte vor,,vorgebeugt,,beugte vor,,beug vor,beuge vor,,beugt vor,,haben,,prevent,prevenir,prévenir
2823,126,verdreschen,verdresche,,verdrischst,verdrischt,verdrischt,verdrosch,,verdroschen,,verdrösche,,verdrisch,,,verdrescht,,haben,,thrash,movimiento de piernas,débattre
2815,127,löhnen,löhne,,löhnst,,löhnt,löhnte,,gelöhnt,,löhnte,,löhne,,,löhnt,,haben,,wage,salario,salaire
2816,127,beschämen,beschäme,,beschämst,,beschämt,beschämte,,beschämt,,beschämte,,beschäme,,,beschämt,,haben,,shame,lástima,honte
2817,127,blubbern,blubbere,,blubberst,,blubbert,blubberte,,geblubbert,,blubberte,,blubbere,,,blubbert,,haben,,bubble,burbuja,bulle
2818,127,vorankommen,komme voran,,kommst voran,,kommt voran,kam voran,,vorangekommen,,käme voran,,komm voran,komme voran,,kommt voran,,sein,,move forward,avanzar,avancer
2819,127,zerfressen,zerfresse,,zerfrisst,,zerfrisst,zerfraß,,zerfressen,,zerfräße,,zerfriss,zerfresse,,zerfresst,,haben,,corroded,corroído,corrodé
2810,128,kontaminieren,kontaminiere,,kontaminierst,,kontaminiert,kontaminierte,,kontaminiert,,kontaminierte,,kontaminiere,kontaminier,,kontaminiert,,haben,,contaminate,contaminar,contaminer
2811,128,quieken,quieke,,quiekst,,quiekt,quiekte,,gequiekt,,quiekte,,quiek,quieke,,quiekt,,haben,,squeak,chirrido,grincer
2812,128,verwundern,verwundere,,verwunderst,,verwundert,verwunderte,,verwundert,,verwunderte,,verwundere,,,verwundert,,haben,,surprise,sorpresa,surprendre
2813,128,freinehmen,nehme frei,,nimmst frei,,nimmt frei,nahm frei,,freigenommen,,nähme frei,,nimm frei,,,nehmt frei,,haben,,take time off,tómate un tiempo libre,prendre congé
2814,128,einäschern,äschere ein,,äscherst ein,,äschert ein,äscherte ein,,eingeäschert,,äscherte ein,,äschere ein,,,äschert ein,,haben,,cremate,incinerar,incinérer
2804,129,einkreisen,kreise ein,,kreist ein,,kreist ein,kreiste ein,,eingekreist,,kreiste ein,,kreis ein,kreise ein,,kreist ein,,haben,,circle,círculo,cercle
2805,129,gegenüberstehen,stehe gegenüber,,stehst gegenüber,,steht gegenüber,stand gegenüber,,gegenübergestanden,,stünde gegenüber,,steh gegenüber,stehe gegenüber,,steht gegenüber,,haben,,face each other,enfrentarse,se faire face
2806,129,trödeln,trödle,trödele,trödelst,,trödelt,trödelte,,getrödelt,,trödelte,,trödle,trödele,,trödelt,,haben,,dawdle,holgazanear,lambiner
2807,129,verpetzen,verpetze,,verpetzt,,verpetzt,verpetzte,,verpetzt,,verpetzte,,verpetze,,,verpetzt,,haben,,snitch,soplón,mouchard
2808,129,ausheben,hebe aus,,hebst aus,,hebt aus,hob aus,,ausgehoben,,höbe aus,,heb aus,hebe aus,,hebt aus,,haben,,excavate,excavar,creuser
2809,129,zurücklegen,lege zurück,,legst zurück,,legt zurück,legte zurück,,zurückgelegt,,legte zurück,,leg zurück,lege zurück,,legt zurück,,haben,,put back,volver,remettre
2798,130,sabbern,sabbere,,sabberst,,sabbert,sabberte,,gesabbert,,sabberte,,sabber,sabbere,,sabbert,,haben,,drool,babear,baver
2799,130,dämmern,dämmere,,dämmerst,,dämmert,dämmerte,,gedämmert,,dämmerte,,dämmere,,,dämmert,,haben,,dawn,amanecer,aube
2800,130,stilllegen,lege still,,legst still,,legt still,legte still,,stillgelegt,,legte still,,leg still,lege still,,legt still,,haben,,shut down,cerrar,fermer
2801,130,überdauern,überdauere,,überdauerst,,überdauert,überdauerte,,überdauert,,überdauerte,,überdauer,überdauere,,überdauert,,haben,,outlast,sobrevivir,survivre à
2802,130,zusammenbauen,baue zusammen,,baust zusammen,,baut zusammen,baute zusammen,,zusammengebaut,,baute zusammen,,bau zusammen,baue zusammen,,baut zusammen,,haben,,assemble,armar,assembler
2803,130,übertönen,übertöne,,übertönst,,übertönt,übertönte,,übertönt,,übertönte,,übertön,übertöne,,übertönt,,haben,,drown out,ahogar,se noyer
2792,131,heranwachsen,wachse heran,,wächst heran,,wächst heran,wuchs heran,,herangewachsen,,wüchse heran,,wachse heran,,,wachst heran,,sein,,grow up,crecer,grandir
2793,131,quittieren,quittiere,,quittierst,,quittiert,quittierte,,quittiert,,quittierte,,quittiere,quittier,,quittiert,,haben,,acknowledge,reconocer,reconnaître
2794,131,auflauern,lauere auf,,lauerst auf,,lauert auf,lauerte auf,,aufgelauert,,lauerte auf,,lauere auf,,,lauert auf,,haben,,ambush,emboscada,embuscade
2795,131,angehören,gehöre an,,gehörst an,,gehört an,gehörte an,,angehört,,gehörte an,,gehör an,gehöre an,,gehört an,,haben,,belong,pertenecer,appartenir
2796,131,plappern,plappere,,plapperst,,plappert,plapperte,,geplappert,,plapperte,,plapper,plappere,,plappert,,haben,,babble,balbucear,babiller
2797,131,verträumen,verträume,,verträumst,,verträumt,verträumte,,verträumt,,verträumte,,verträum,verträume,,verträumt,,haben,,dream,sueño,rêve
2783,132,abarbeiten,arbeite ab,,arbeitest ab,,arbeitet ab,arbeitete ab,,abgearbeitet,,arbeitete ab,,arbeite ab,,,arbeitet ab,,haben,,process,proceso,processus
2784,132,lackieren,lackiere,,lackierst,,lackiert,lackierte,,lackiert,,lackierte,,lackiere,lackier,,lackiert,,haben,,paint,pintar,peinture
2785,132,andrehen,drehe an,,drehst an,,dreht an,drehte an,,angedreht,,drehte an,,dreh an,drehe an,,dreht an,,haben,,turn on,encender,allumer
2786,132,auswandern,wandere aus,,wanderst aus,,wandert aus,wanderte aus,,ausgewandert,,wanderte aus,,wander aus,wandere aus,,wandert aus,,sein,,emigrate,emigrar,émigrer
2787,132,brandmarken,brandmarke,,brandmarkst,,brandmarkt,brandmarkte,,gebrandmarkt,,brandmarkte,,brandmarke,,,brandmarkt,,haben,,brand,marca,marque
2788,132,niederknien,knie nieder,,kniest nieder,,kniet nieder,kniete nieder,,niedergekniet,,kniete nieder,,knie nieder,,,kniet nieder,,haben,sein,kneel down,arrodillarse,s'agenouiller
2789,132,bekleiden,bekleide,,bekleidest,,bekleidet,bekleidete,,bekleidet,,bekleidete,,bekleid,bekleide,,bekleidet,,haben,,clothe,vestir,vêtir
2790,132,muhen,muhe,,muhst,,muht,muhte,,gemuht,,muhte,,muh,muhe,,muht,,haben,,low,bajo,faible
2791,132,vorhersehen,sehe vorher,,siehst vorher,,sieht vorher,sah vorher,,vorhergesehen,,sähe vorher,,sieh vorher,siehe vorher,,seht vorher,,haben,,foresee,prever,prévoir
2773,133,anbrechen,breche an,,brichst an,,bricht an,brach an,,angebrochen,,bräche an,,brich an,,,brecht an,,haben,sein,dawn,amanecer,aube
2774,133,initiieren,initiiere,,initiierst,,initiiert,initiierte,,initiiert,,initiierte,,initiiere,initiier,,initiiert,,haben,,initiate,iniciado,initié
2775,133,bestatten,bestatte,,bestattest,,bestattet,bestattete,,bestattet,,bestattete,,bestatt,bestatte,,bestattet,,haben,,bury,enterrar,enterrer
2776,133,montieren,montiere,,montierst,,montiert,montierte,,montiert,,montierte,,montiere,montier,,montiert,montieret,haben,,mount,montar,monter
2777,133,anlocken,locke an,,lockst an,,lockt an,lockte an,,angelockt,,lockte an,,lock an,locke an,,lockt an,,haben,,attract,atraer,attirer
2778,133,absegnen,segne ab,,segnest ab,,segnet ab,segnete ab,,abgesegnet,,segnete ab,,segne ab,,,segnet ab,,haben,,approve,aprobar,approuver
2779,133,abscheiden,scheide ab,,scheidest ab,,scheidet ab,schied ab,,abgeschieden,,schiede ab,,scheid ab,scheide ab,,scheidet ab,,haben,sein,separate,separado,séparé
2780,133,mildern,mildere,,milderst,,mildert,milderte,,gemildert,,milderte,,mildere,,,mildert,,haben,,mitigate,mitigar,atténuer
2781,133,überbrücken,überbrücke,,überbrückst,,überbrückt,überbrückte,,überbrückt,,überbrückte,,überbrück,überbrücke,,überbrückt,,haben,,bridge,puente,pont
2782,133,rätseln,rätsel,,rätselst,,rätselt,rätselte,,gerätselt,,rätselte,,rätsel,rätsle,,rätselt,,haben,,puzzle,rompecabezas,puzzle
2766,134,degradieren,degradiere,,degradierst,,degradiert,degradierte,,degradiert,,degradierte,,degradier,degradiere,,degradiert,,haben,,degrade,degradar,dégrader
2767,134,erstrecken,erstrecke,,erstreckst,,erstreckt,erstreckte,,erstreckt,,erstreckte,,erstreck,erstrecke,,erstreckt,,haben,,extend,extender,étendre
2768,134,kidnappen,kidnappe,,kidnappst,,kidnappt,kidnappte,,gekidnappt,,kidnappte,,kidnapp,kidnappe,,kidnappt,,haben,,kidnap,secuestrar,kidnapper
2769,134,ertönen,ertöne,,ertönst,,ertönt,ertönte,,ertönt,,ertönte,,ertöne,,,ertönt,,sein,,sound,sonido,son
2770,134,verpfänden,verpfände,,verpfändest,,verpfändet,verpfändete,,verpfändet,,verpfändete,,verpfänd,verpfände,,verpfändet,,haben,,pledge,promesa,gage
2771,134,absaugen,sauge ab,,saugst ab,,saugt ab,sog ab,saugte ab,abgesogen,abgesaugt,söge ab,saugte ab,saug ab,sauge ab,,saugt ab,sauget ab,haben,,suck off,chupar,sucer
2772,134,verarzten,verarzte,,verarztest,,verarztet,verarztete,,verarztet,,verarztete,,verarzt,verarzte,,verarztet,,haben,,doctor,doctor,médecin
2761,135,stocken,stocke,,stockst,,stockt,stockte,,gestockt,,stockte,,stock,stocke,,stockt,,haben,,falter,desfallecer,vaciller
2762,135,einräumen,räume ein,,räumst ein,,räumt ein,räumte ein,,eingeräumt,,räumte ein,,räum ein,räume ein,,räumt ein,räumet ein,haben,,concede,conceder,concéder
2763,135,regulieren,reguliere,,regulierst,,reguliert,regulierte,,reguliert,,regulierte,,reguliere,regulier,,reguliert,,haben,,regulate,regular,réglementer
2764,135,absägen,säge ab,,sägst ab,,sägt ab,sägte ab,,abgesägt,,sägte ab,,säg ab,säge ab,,sägt ab,,haben,,saw off,sierra,scié
2765,135,zubringen,bringe zu,,bringst zu,,bringt zu,brachte zu,,zugebracht,,brächte zu,,bring zu,,,bringt zu,,haben,,bring to,reanimar,apporter à
2752,136,halbieren,halbiere,,halbierst,,halbiert,halbierte,,halbiert,,halbierte,,halbier,halbiere,,halbiert,,haben,,halve,reducir en la mitad,réduire de moitié
2753,136,dampfen,dampfe,,dampfst,,dampft,dampfte,,gedampft,,dampfte,,dampfe,dampf,,dampft,,haben,,steam,vapor,vapeur
2754,136,munkeln,munkle,,munkelst,,munkelt,munkelte,,gemunkelt,,munkelte,,munkle,,,munkelt,,haben,,rumor,rumor,rumeur
2755,136,posieren,posiere,,posierst,,posiert,posierte,,posiert,,posierte,,posiere,posier,,posiert,,haben,,pose,pose,pose
2756,136,anlächeln,lächle an,,lächelst an,,lächelt an,lächelte an,,angelächelt,,lächelte an,,lächle an,lächel an,,lächelt an,,haben,,smile at,sonreír a,sourire de
2757,136,darlegen,lege dar,,legst dar,,legt dar,legte dar,,dargelegt,,legte dar,,leg dar,lege dar,,legt dar,,haben,,present,presente,présent
2758,136,vermessen,vermesse,,vermisst,,vermisst,vermaß,,vermessen,,vermäße,,vermiss,,,vermesst,,haben,,measured,mesurado,mesuré
2759,136,abmurksen,murkse ab,,murkst ab,,murkst ab,murkste ab,,abgemurkst,,murkste ab,,murkse ab,,,murkst ab,,haben,,murder,asesinato,meurtre
2760,136,eingraben,grabe ein,,gräbst ein,,gräbt ein,grub ein,,eingegraben,,grübe ein,,grab ein,grabe ein,,grabt ein,,haben,,dig in,atrincherarse,creuser
2745,137,umfahren,umfahre,,umfährst,,umfährt,umfuhr,,umfahren,,umführe,,umfahre,umfahr,,umfahrt,,haben,,bypass,derivación,by-pass
2746,137,aufrichten,richte auf,,richtest auf,,richtet auf,richtete auf,,aufgerichtet,,richtete auf,,richte auf,,,richtet auf,,haben,,erect,erguido,ériger
2747,137,turnen,turne,,turnst,,turnt,turnte,,geturnt,,turnte,,turne,,,turnt,,sein,haben,do gymnastics,hacer gimnasia,faire de la gymnastique
2748,137,bücken,bücke,,bückst,,bückt,bückte,,gebückt,,bückte,,bücke,,,bückt,,haben,,bend over,agacharse,se pencher
2749,137,erachten,erachte,,erachtest,,erachtet,erachtete,,erachtet,,erachtete,,eracht,erachte,,erachtet,,haben,,consider,considerar,considérer
2750,137,anschreiben,schreibe an,,schreibst an,,schreibt an,schrieb an,,angeschrieben,,schriebe an,,schreib an,schreibe an,,schreibt an,,haben,,write to,escribir a,écrire à
2751,137,zersetzen,zersetze,,zersetzt,,zersetzt,zersetzte,,zersetzt,,zersetzte,,zersetz,zersetze,,zersetzt,,haben,,decompose,descomponer,décomposer
2737,138,verlernen,verlerne,,verlernst,,verlernt,verlernte,,verlernt,,verlernte,,verlern,verlerne,,verlernt,,haben,,unlearn,desaprender,désapprendre
2738,138,schlummern,schlummere,,schlummerst,,schlummert,schlummerte,,geschlummert,,schlummerte,,schlummere,,,schlummert,,haben,,slumber,sueño,sommeil
2739,138,festigen,festige,,festigst,,festigt,festigte,,gefestigt,,festigte,,festige,,,festigt,,haben,,consolidate,consolidar,consolider
2740,138,mäßigen,mäßige,,mäßigst,,mäßigt,mäßigte,,gemäßigt,,mäßigte,,mäßige,,,mäßigt,,haben,,moderate,moderado,modéré
2741,138,düsen,düse,,düst,,düst,düste,,gedüst,,düste,,düs,düse,,düst,,sein,,nozzles,boquillas,buses
2742,138,verkohlen,verkohle,,verkohlst,,verkohlt,verkohlte,,verkohlt,,verkohlte,,verkohl,verkohle,,verkohlt,,sein,,char,carbonizarse,carboniser
2743,138,verkleinern,verkleinere,,verkleinerst,,verkleinert,verkleinerte,,verkleinert,,verkleinerte,,verkleinere,,,verkleinert,,haben,,shrink,encoger,rétrécir
2744,138,ermessen,ermesse,,ermisst,,ermisst,ermaß,,ermessen,,ermäße,,ermiss,,,ermesst,,haben,,discretion,discreción,discrétion
2732,139,ausdehnen,dehne aus,,dehnst aus,,dehnt aus,dehnte aus,,ausgedehnt,,dehnte aus,,dehn aus,dehne aus,,dehnt aus,,haben,,expand,expandir,développer
2733,139,spreizen,spreize,,spreizt,,spreizt,spreizte,,gespreizt,,spreizte,,spreize,,,spreizt,,haben,,spread,desparramar,propagé
2734,139,zunähen,nähe zu,,nähst zu,,näht zu,nähte zu,,zugenäht,,nähte zu,,nähe zu,,,näht zu,,haben,,sew up,coser,recoudre
2735,139,freimachen,mache frei,,machst frei,,macht frei,machte frei,,freigemacht,,machte frei,,mach frei,mache frei,,macht frei,,haben,,free up,hacer disponible,libérer
